Dataset,Num_Layers,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Final Loss
data_500.csv,4,1,500,20,0.4637,0.0008,0.9100,0.0004
data_500.csv,4,2,500,20,0.4037,0.0006,0.9100,0.0004
data_500.csv,4,3,500,20,0.3874,0.0006,0.9100,0.0004
data_500.csv,8,1,500,20,0.7800,0.0009,0.9000,0.0001
data_500.csv,8,2,500,20,0.7410,0.0005,0.9000,0.0001
data_500.csv,8,3,500,20,0.4859,0.0005,0.9000,0.0001
data_500.csv,16,1,500,20,0.9319,0.0011,0.9300,0.0002
data_500.csv,16,2,500,20,0.9715,0.0010,0.9300,0.0002
data_500.csv,16,3,500,20,0.9519,0.0009,0.9300,0.0002
data_500.csv,32,1,500,20,1.8777,0.0016,0.9000,0.0160
data_500.csv,32,2,500,20,1.7731,0.0015,0.9000,0.0160
data_500.csv,32,3,500,20,1.8498,0.0016,0.9000,0.0160
data_1000.csv,4,1,1000,20,0.5773,0.0007,0.9200,0.0005
data_1000.csv,4,2,1000,20,0.5041,0.0006,0.9200,0.0005
data_1000.csv,4,3,1000,20,0.5038,0.0005,0.9200,0.0005
data_1000.csv,8,1,1000,20,0.9820,0.0011,0.9050,0.0001
data_1000.csv,8,2,1000,20,0.9284,0.0009,0.9050,0.0001
data_1000.csv,8,3,1000,20,0.9063,0.0010,0.9050,0.0001
data_1000.csv,16,1,1000,20,1.6746,0.0017,0.8950,0.0001
data_1000.csv,16,2,1000,20,1.6886,0.0018,0.8950,0.0001
data_1000.csv,16,3,1000,20,1.7195,0.0015,0.8950,0.0001
data_1000.csv,32,1,1000,20,3.2837,0.0034,0.9250,0.0250
data_1000.csv,32,2,1000,20,3.2270,0.0032,0.9250,0.0250
data_1000.csv,32,3,1000,20,3.2076,0.0033,0.9250,0.0250
data_5000.csv,4,1,5000,20,2.2239,0.0037,0.9560,0.0293
data_5000.csv,4,2,5000,20,2.2647,0.0014,0.9560,0.0293
data_5000.csv,4,3,5000,20,2.1966,0.0017,0.9560,0.0293
data_5000.csv,8,1,5000,20,4.0172,0.0029,0.9530,0.0054
data_5000.csv,8,2,5000,20,4.0902,0.0029,0.9530,0.0054
data_5000.csv,8,3,5000,20,4.0528,0.0029,0.9530,0.0054
data_5000.csv,16,1,5000,20,7.4143,0.0050,0.9350,0.0215
data_5000.csv,16,2,5000,20,7.5409,0.0047,0.9350,0.0215
data_5000.csv,16,3,5000,20,7.5499,0.0054,0.9350,0.0215
data_5000.csv,32,1,5000,20,14.4472,0.0099,0.9550,0.0376
data_5000.csv,32,2,5000,20,14.6349,0.0192,0.9550,0.0376
data_5000.csv,32,3,5000,20,14.2994,0.0100,0.9550,0.0376
data_10000.csv,4,1,10000,20,4.3668,0.0027,0.9490,0.0792
data_10000.csv,4,2,10000,20,4.6055,0.0101,0.9490,0.0792
data_10000.csv,4,3,10000,20,4.5747,0.0053,0.9490,0.0792
data_10000.csv,8,1,10000,20,7.8108,0.0059,0.9465,0.0367
data_10000.csv,8,2,10000,20,7.5652,0.0049,0.9465,0.0367
data_10000.csv,8,3,10000,20,7.7430,0.0049,0.9465,0.0367
data_10000.csv,16,1,10000,20,14.3211,0.0094,0.9395,0.0453
data_10000.csv,16,2,10000,20,14.0640,0.0090,0.9395,0.0453
data_10000.csv,16,3,10000,20,14.1816,0.0096,0.9395,0.0453
data_10000.csv,32,1,10000,20,27.0523,0.0217,0.9415,0.1226
data_10000.csv,32,2,10000,20,27.2517,0.0189,0.9415,0.1226
data_10000.csv,32,3,10000,20,27.0260,0.0198,0.9415,0.1226
data_50000.csv,4,1,50000,20,22.1524,0.0137,0.9735,0.0253
data_50000.csv,4,2,50000,20,21.8978,0.0139,0.9735,0.0253
data_50000.csv,4,3,50000,20,21.8551,0.0124,0.9735,0.0253
data_50000.csv,8,1,50000,20,39.6247,0.0377,0.9674,0.0123
data_50000.csv,8,2,50000,20,39.1319,0.0230,0.9674,0.0123
data_50000.csv,8,3,50000,20,39.1907,0.0250,0.9674,0.0123
data_50000.csv,16,1,50000,20,72.3412,0.0482,0.9658,0.0203
data_50000.csv,16,2,50000,20,71.9679,0.0444,0.9658,0.0203
data_50000.csv,16,3,50000,20,72.3522,0.0488,0.9658,0.0203
data_50000.csv,32,1,50000,20,121.1760,0.0899,0.9656,0.0284
data_50000.csv,32,2,50000,20,126.6940,0.0880,0.9656,0.0284
data_50000.csv,32,3,50000,20,122.3047,0.0858,0.9656,0.0284
data_100000.csv,4,1,100000,20,42.5099,0.0264,0.9876,0.0186
data_100000.csv,4,2,100000,20,41.2073,0.0228,0.9876,0.0186
data_100000.csv,4,3,100000,20,42.0091,0.0265,0.9876,0.0186
data_100000.csv,8,1,100000,20,79.6901,0.0397,0.9860,0.0335
data_100000.csv,8,2,100000,20,79.4290,0.0381,0.9860,0.0335
data_100000.csv,8,3,100000,20,80.3561,0.0397,0.9860,0.0335
data_100000.csv,16,1,100000,20,148.2983,0.0732,0.9853,0.0148
data_100000.csv,16,2,100000,20,147.7066,0.0741,0.9853,0.0148
data_100000.csv,16,3,100000,20,59.3096,0.0724,0.9874,0.0302
data_100000.csv,32,1,100000,20,228.6102,0.1472,0.9872,0.0211
data_100000.csv,32,2,100000,20,4.0532,0.1577,0.5018,0.6936
