Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Final Loss
data_500.csv,1,500,20,0.1896,0.0020,0.9200,0.0424
data_500.csv,2,500,20,0.1832,0.0000,0.9200,0.0424
data_500.csv,3,500,20,0.1838,0.0000,0.9200,0.0424
data_1000.csv,1,1000,20,0.3667,0.0000,0.9400,0.0224
data_1000.csv,2,1000,20,0.3529,0.0000,0.9400,0.0224
data_1000.csv,3,1000,20,0.3551,0.0017,0.9400,0.0224
data_5000.csv,1,5000,20,1.6355,0.0000,0.9670,0.0197
data_5000.csv,2,5000,20,1.6342,0.0020,0.9670,0.0197
data_5000.csv,3,5000,20,1.6374,0.0020,0.9670,0.0197
data_10000.csv,1,10000,20,3.2476,0.0000,0.9710,0.0215
data_10000.csv,2,10000,20,3.2284,0.0000,0.9710,0.0215
data_10000.csv,3,10000,20,3.2131,0.0000,0.9710,0.0215
data_50000.csv,1,50000,20,15.4874,0.0160,0.9822,0.0191
data_50000.csv,2,50000,20,16.0586,0.0009,0.9822,0.0191
data_50000.csv,3,50000,20,16.4869,0.0000,0.9822,0.0191
data_100000.csv,1,100000,20,32.6015,0.0132,0.9883,0.0199
data_100000.csv,2,100000,20,32.4660,0.0253,0.9883,0.0199
data_100000.csv,3,100000,20,31.4111,0.0120,0.9883,0.0199
