Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Test Loss
data_500.csv,1,500,20,0.7120,0.1499,0.9100,0.2660
data_500.csv,2,500,20,0.6806,0.0948,0.9100,0.2469
data_500.csv,3,500,20,0.6773,0.0948,0.8900,0.2577
data_1000.csv,1,1000,20,0.6777,0.1047,0.9250,0.1622
data_1000.csv,2,1000,20,0.8165,0.0947,0.9450,0.1400
data_1000.csv,3,1000,20,0.7280,0.0968,0.9550,0.1251
data_5000.csv,1,5000,20,3.2867,0.1279,0.9480,0.1624
data_5000.csv,2,5000,20,3.4607,0.1204,0.9530,0.1614
data_5000.csv,3,5000,20,3.1827,0.1200,0.9540,0.1634
data_10000.csv,1,10000,20,3.0301,0.1579,0.9280,0.2117
data_10000.csv,2,10000,20,3.2553,0.1467,0.9235,0.2081
data_10000.csv,3,10000,20,3.1665,0.1485,0.9205,0.2094
data_50000.csv,1,50000,20,15.4398,0.4277,0.9617,0.1236
data_50000.csv,2,50000,20,14.6216,0.3772,0.9610,0.1235
data_50000.csv,3,50000,20,12.8266,0.3778,0.9653,0.1184
data_100000.csv,1,100000,20,21.2628,0.7304,0.9876,0.0572
data_100000.csv,2,100000,20,12.3735,0.6945,0.9878,0.0565
data_100000.csv,3,100000,20,9.1125,0.6900,0.9875,0.0578
