Dataset,Num_Layers,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Test Loss
data_500.csv,4,1,500,20,22.8363,3.1845,0.9100,0.5083
data_500.csv,4,2,500,20,16.7465,0.9170,0.9000,0.5143
data_500.csv,4,3,500,20,16.5769,0.9101,0.9000,0.4466
data_500.csv,8,1,500,20,17.7712,1.1413,0.9100,0.8203
data_500.csv,8,2,500,20,17.5029,1.1939,0.9100,0.9152
data_500.csv,8,3,500,20,17.4417,1.1656,0.9100,1.0234
data_500.csv,16,1,500,20,19.8553,1.3900,0.9300,0.7248
data_500.csv,16,2,500,20,19.4407,1.6560,0.9100,0.7143
data_500.csv,16,3,500,20,19.5424,1.4833,0.9200,0.7598
data_500.csv,32,1,500,20,23.8512,1.8482,0.9100,0.6920
data_500.csv,32,2,500,20,24.0730,1.6288,0.8600,2.5553
data_500.csv,32,3,500,20,23.8636,1.8618,0.9000,0.5000
data_1000.csv,4,1,1000,20,20.6237,2.1487,0.9500,0.1509
data_1000.csv,4,2,1000,20,16.1618,0.9941,0.9350,0.2214
data_1000.csv,4,3,1000,20,17.4646,1.1501,0.9350,0.2242
data_1000.csv,8,1,1000,20,17.5639,1.1174,0.9400,0.2231
data_1000.csv,8,2,1000,20,17.3288,1.1361,0.9150,0.3853
data_1000.csv,8,3,1000,20,17.2084,1.2130,0.9600,0.2639
data_1000.csv,16,1,1000,20,19.3221,1.3996,0.9450,0.3364
data_1000.csv,16,2,1000,20,20.3747,1.3688,0.8800,0.9824
data_1000.csv,16,3,1000,20,19.3680,1.1788,0.9450,0.4932
data_1000.csv,32,1,1000,20,22.9017,1.8443,0.9150,0.3917
data_1000.csv,32,2,1000,20,24.1790,1.7344,0.9150,0.3941
data_1000.csv,32,3,1000,20,23.6708,1.9457,0.9200,0.3629
data_5000.csv,4,1,5000,20,20.9727,1.2124,0.9660,0.1482
data_5000.csv,4,2,5000,20,16.6263,1.1434,0.9580,0.1614
data_5000.csv,4,3,5000,20,16.7441,1.0805,0.9670,0.1474
data_5000.csv,8,1,5000,20,19.0358,1.3222,0.9530,0.3243
data_5000.csv,8,2,5000,20,17.4079,1.1875,0.9450,0.2952
data_5000.csv,8,3,5000,20,17.7449,1.2749,0.9530,0.2889
data_5000.csv,16,1,5000,20,19.6599,1.5629,0.9440,0.2361
data_5000.csv,16,2,5000,20,19.7615,1.5144,0.9400,0.3060
data_5000.csv,16,3,5000,20,20.1088,1.5266,0.9540,0.2101
data_5000.csv,32,1,5000,20,26.0894,2.0760,0.9440,0.3701
data_5000.csv,32,2,5000,20,23.7528,1.8410,0.9500,0.1739
data_5000.csv,32,3,5000,20,23.5189,1.9409,0.9460,0.2425
data_10000.csv,4,1,10000,20,21.0617,2.3270,0.9500,0.1521
data_10000.csv,4,2,10000,20,16.1748,1.3836,0.9535,0.1487
data_10000.csv,4,3,10000,20,16.1956,3.2891,0.9465,0.1546
data_10000.csv,8,1,10000,20,20.1292,1.4518,0.9500,0.1732
data_10000.csv,8,2,10000,20,17.3617,1.4477,0.9435,0.1929
data_10000.csv,8,3,10000,20,17.2524,1.3886,0.9485,0.1739
data_10000.csv,16,1,10000,20,19.1039,1.6670,0.9330,0.2329
data_10000.csv,16,2,10000,20,19.3069,1.6430,0.9370,0.2150
data_10000.csv,16,3,10000,20,19.3266,1.6540,0.9445,0.1908
data_10000.csv,32,1,10000,20,23.1792,2.0392,0.9355,0.1847
data_10000.csv,32,2,10000,20,25.4354,2.1324,0.9390,0.1919
data_10000.csv,32,3,10000,20,23.6524,2.1099,0.9355,0.2222
data_50000.csv,4,1,50000,20,29.7439,2.5700,0.9763,0.1084
data_50000.csv,4,2,50000,20,22.2080,2.4527,0.9753,0.1080
data_50000.csv,4,3,50000,20,22.2383,2.4470,0.9772,0.1031
data_50000.csv,8,1,50000,20,23.7991,2.7377,0.9706,0.1361
data_50000.csv,8,2,50000,20,24.8779,2.6259,0.9662,0.1857
data_50000.csv,8,3,50000,20,24.3094,2.6328,0.9709,0.1598
data_50000.csv,16,1,50000,20,28.3732,2.9209,0.9683,0.1337
data_50000.csv,16,2,50000,20,28.0354,3.0095,0.9618,0.1226
data_50000.csv,16,3,50000,20,32.3928,3.0679,0.9683,0.1727
data_50000.csv,32,1,50000,20,37.5788,3.6779,0.9619,0.2417
data_50000.csv,32,2,50000,20,37.3271,3.6348,0.9685,0.1800
data_50000.csv,32,3,50000,20,37.4707,3.5992,0.9631,0.2026
data_100000.csv,4,1,100000,20,31.0139,3.6239,0.9885,0.0664
data_100000.csv,4,2,100000,20,26.9598,3.4618,0.9893,0.0611
data_100000.csv,4,3,100000,20,27.1112,3.5521,0.9879,0.0664
data_100000.csv,8,1,100000,20,30.4162,3.7994,0.9844,0.1029
data_100000.csv,8,2,100000,20,29.9958,3.8519,0.9847,0.1073
data_100000.csv,8,3,100000,20,29.7765,3.8490,0.9847,0.1129
data_100000.csv,16,1,100000,20,35.8367,4.1664,0.9847,0.1249
data_100000.csv,16,2,100000,20,41.0406,4.1887,0.9854,0.1017
data_100000.csv,16,3,100000,20,36.7038,4.1592,0.9834,0.1381
data_100000.csv,32,1,100000,20,48.4247,4.9370,0.9858,0.1024
data_100000.csv,32,2,100000,20,47.8864,4.7712,0.9850,0.0748
data_100000.csv,32,3,100000,20,46.9545,4.8674,0.9857,0.1120
