Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Test Loss
data_500.csv,1,500,20,21.5489,3.0624,0.9100,0.2635
data_500.csv,2,500,20,15.6126,0.8795,0.9100,0.2434
data_500.csv,3,500,20,16.0010,1.0100,0.9200,0.2603
data_1000.csv,1,1000,20,24.9849,1.9967,0.9400,0.1329
data_1000.csv,2,1000,20,17.8426,1.0038,0.9400,0.1285
data_1000.csv,3,1000,20,18.0184,1.0402,0.9400,0.1359
data_5000.csv,1,5000,20,26.7293,1.1865,0.9700,0.1436
data_5000.csv,2,5000,20,23.0010,1.1740,0.9680,0.1377
data_5000.csv,3,5000,20,22.7496,1.1957,0.9730,0.1388
data_10000.csv,1,10000,20,34.2387,2.2252,0.9610,0.1276
data_10000.csv,2,10000,20,30.5998,1.2645,0.9640,0.1185
data_10000.csv,3,10000,20,32.3560,1.2997,0.9605,0.1360
data_50000.csv,1,50000,20,87.8940,2.5870,0.9816,0.1068
data_50000.csv,2,50000,20,84.1011,2.2763,0.9818,0.1038
data_50000.csv,3,50000,20,84.1417,2.5232,0.9834,0.0963
data_100000.csv,1,100000,20,152.8386,3.6708,0.9898,0.0593
data_100000.csv,2,100000,20,151.5405,3.4653,0.9901,0.0617
data_100000.csv,3,100000,20,150.1082,3.6788,0.9901,0.0561
